nc_house_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
041,15884,8519,27496,266,52165,0.6509035774290046,0.3490964225709954,0.5270967123550273,0.005099204447426436
042,16174,5220,13049,312,34755,0.7560063569225016,0.24399364307749835,0.37545676881024315,0.008977125593439793
043,16544,17703,18853,383,53483,0.4830788098227582,0.5169211901772418,0.35250453415103866,0.007161154011555073
044,17693,9491,16948,347,44479,0.6508608004708653,0.3491391995291348,0.3810337462622811,0.0078014343847658445
045,16934,10488,17432,320,45174,0.6175333673692656,0.38246663263073444,0.3858856864568114,0.007083720724310444
046,15512,15418,18696,165,49791,0.5015195602974458,0.4984804397025542,0.37548954630354886,0.003313851900945954
047,17961,9118,17358,120,44557,0.6632815096569297,0.3367184903430703,0.38956841798146197,0.002693179522858361
048,17969,11149,18915,288,48321,0.6171096915996978,0.3828903084003022,0.39144471347861176,0.005960141553361892
049,16564,7599,22111,308,46582,0.6855109051028432,0.3144890948971568,0.47466832682151905,0.006611996049976386
050,22432,12754,22940,262,58388,0.6375262888648895,0.36247371113511057,0.39288894978420225,0.004487223402068918
051,12173,17809,18270,350,48602,0.4060102728303649,0.5939897271696352,0.37591045635982057,0.0072013497386938805
052,14721,18106,19517,339,52683,0.44844183141925853,0.5515581685807415,0.3704610595448247,0.006434713285120438
053,13054,22280,20738,411,56483,0.3694458595120847,0.6305541404879154,0.367154719119027,0.007276525680293185
054,19884,15956,26297,303,62440,0.5547991071428572,0.44520089285714287,0.42115631005765536,0.0048526585522101215
055,14271,17835,15228,217,47551,0.4444963558213418,0.5555036441786582,0.3202456310067086,0.004563521271897542
056,25357,3075,23102,195,51729,0.8918472144063028,0.10815278559369725,0.44659668657812834,0.003769645653308589
057,24081,11076,20654,319,56130,0.6849560542708423,0.3150439457291578,0.367967218955995,0.005683235346517014
058,25077,6553,15435,195,47260,0.7928232690483717,0.2071767309516282,0.32659754549301734,0.004126110876005078
059,19362,23017,21721,316,64416,0.4568772269284315,0.5431227730715684,0.33719883258817684,0.0049056135121708895
060,19869,10659,16597,285,47410,0.6508451257861635,0.34915487421383645,0.3500738240877452,0.00601139000210926
061,23770,6760,20972,293,51795,0.7785784474287586,0.2214215525712414,0.4049039482575538,0.00565691669080027
062,16401,22143,25026,379,63949,0.425513698630137,0.574486301369863,0.39134310153403495,0.005926597757588078
063,15182,17229,17871,267,50549,0.4684212150195921,0.5315787849804079,0.35353815110091197,0.005282003600466874
064,15795,17545,19489,264,53093,0.47375524895021,0.5262447510497901,0.367072872130036,0.004972406908632023
065,13288,23782,18189,284,55543,0.3584569732937685,0.6415430267062314,0.32747600957816464,0.005113155573159534
066,20706,11625,24495,338,57164,0.6404379697503944,0.35956203024960565,0.42850395353719123,0.005912812259463998
067,10497,27083,18850,275,56705,0.27932410856838746,0.7206758914316126,0.3324221849925051,0.004849660523763337
068,11735,25414,27528,418,65095,0.31589006433551375,0.6841099356644863,0.42288962285889853,0.006421384130885628
069,12713,25154,23483,396,61746,0.33572767845353474,0.6642723215464652,0.3803161338386292,0.006413370906617433
070,7442,27841,17182,289,52754,0.21092310744551201,0.789076892554488,0.32570042082116996,0.0054782575728854685
071,21282,9124,18734,328,49468,0.6999276458593698,0.30007235414063016,0.37870946874747313,0.006630549041804803
072,21961,7469,18277,246,47953,0.7462113489636425,0.25378865103635745,0.38114403686943465,0.0051300231476654225
073,14560,17824,20699,382,53465,0.44960474308300397,0.5503952569169961,0.38715047227157956,0.0071448611240998786
074,14373,21717,23382,370,59842,0.39825436408977555,0.6017456359102245,0.39072891948798505,0.006182948430867952
