DISTRICT,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
74,189118,0.10443182386135054,0.0,340961698.6457786,119087.4321711913,0.3021228676977648,0.6042457353955296,0.24169829415821187,F
75,187051,0.09236073290268235,0.07639267097317659,310952124.78584695,110909.99962112763,0.31765960034494944,0.6353192006898989,0.2999632828598655,F
76,142407,0.1683561440972126,0.0,678933226.9406472,130977.71815999282,0.4973270568175871,0.9946541136351742,0.3978616454540697,F
77,227278,0.3272827338675326,0.0,1925756612.4000823,285932.5927111661,0.2959947016742652,0.5919894033485305,0.2367957613394122,F
78,201021,0.17394425525033336,0.0,2146864368.560707,363889.7329112191,0.20373932720527602,0.40747865441055203,0.16299146176422083,F
79,162045,0.05367202012705005,0.46327979872949954,10330719618.20635,708753.2701265127,0.25843437949751313,0.5168687589950263,0.48471538283571025,D
80,182792,0.06748856241745359,0.3251143758254642,779412859.1405928,176039.79427627817,0.31604995004028313,0.6320999000805663,0.447908585527505,D
81,162731,0.04966584286645674,0.5033415713354326,690920605.4442445,164952.9380982955,0.3190934561682678,0.6381869123365356,0.5572797077358738,C
82,279197,0.6304849455187633,0.0,447109120.90442824,161099.2451039764,0.2164892733641225,0.432978546728245,0.173191418691298,F
83,164401,0.039913195599414704,0.6008680440058529,433710603.74286944,114274.93312643614,0.4173572409378898,0.8347144818757796,0.6944066191538236,C
84,182239,0.06425909299309775,0.35740907006902256,1143637072.2268317,167415.96394905276,0.512748446804345,1.0,0.6144454420414136,C
85,131439,0.23240826099836054,0.0,2980121882.8442917,353423.16343733994,0.29981535455770786,0.5996307091154157,0.2398522836461663,F
86,161274,0.05817458961381018,0.4182541038618982,1331866892.6995296,195825.3943141892,0.4364481611347611,0.8728963222695222,0.6001109912249478,C
87,138199,0.19293047924674128,0.0,1301319026.52258,187402.47121257524,0.4656322119153675,0.931264423830735,0.37250576953229403,F
88,164756,0.03784002806660038,0.6215997193339962,68145137.48590347,45863.84383805707,0.4071025624793615,0.814205124958723,0.6986418815838868,C
89,200635,0.17169005055268174,0.0,916129014.0566925,198455.63168522643,0.29230728983690063,0.5846145796738013,0.23384583186952052,F
90,138313,0.19226472967282343,0.0,1932060000.701801,247290.8738916424,0.39702174591198497,0.7940434918239699,0.317617396729588,F
91,173056,0.01063121284145284,0.8936878715854716,1376765714.940511,189729.2920688713,0.48061921958773973,0.9612384391754795,0.9207080986214748,A
92,144570,0.15572442191840308,0.0,186303421.26668966,80338.82715375362,0.36272686284981803,0.7254537256996361,0.29018149027985446,F
93,114291,0.3325510126961071,0.0,2463394098.567294,322051.66279751045,0.2984644906679481,0.5969289813358962,0.2387715925343585,F
94,169381,0.010830451054582772,0.8916954894541723,2099553281.9730937,277007.27750253695,0.34383842330499315,0.6876768466099863,0.8100880323164978,B
95,175788,0.026585842981308432,0.7341415701869156,257526413.89622223,73576.6237380125,0.5977945260434706,1.0,0.8404849421121494,B
