OBJECTID,ID,AREA,DISTRICT,MEMBERS,LOCKED,NAME,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,DISTRICT_L,DISTRICT_I,MULTIPLE_F,Shape__Area,Shape__Length
57,71,51.047264,RUT-8,1, ,Rutland-8,4625,4287,338,0.078843,RUT-8|7.88%,0,RUT-8|7.88%|4625|1.0,132461815.166397,64644.4652050392
58,72,91.948456,RUT-10,1, ,Rutland-10,3949,4287,-338,-0.078843,RUT-10|-7.88%,0,RUT-10|-7.88%|3949|1.0,238612565.287594,93228.0117883192
59,73,42.264591,RUT-3,1, ,Rutland-3,4458,4287,171,0.039888,RUT-3|3.99%,0,RUT-3|3.99%|4458|1.0,109675023.163021,42677.1585856222
60,180,0.673988,CHI-16,2, ,Chittenden-16,8044,8574,-530,-0.061815,CHI-16|-6.18%,0,CHI-16|-6.18%|8044|2.0,1749333.26215363,8190.25580052462
61,178,160.368118,ADD-RUT,1, ,Addison-Rutland,4184,4287,-103,-0.024026,ADD-RUT|-2.4%,0,ADD-RUT|-2.4%|4184|1.0,416174342.456604,103948.130151413
62,78,104.097054,RUT-2,2, ,Rutland-2,9056,8574,482,0.056216,RUT-2|5.62%,0,RUT-2|5.62%|9056|2.0,270112562.335327,130852.947148242
63,79,134.78923,RUT-WDR,1, ,Rutland-Windsor,4653,4287,366,0.085374,RUT-WDR|8.54%,0,RUT-WDR|8.54%|4653|1.0,349733190.32103,97279.1272378714
64,80,88.139153,WDR-2,1, ,Windsor-2,4463,4287,176,0.041054,WDR-2|4.11%,0,WDR-2|4.11%|4463|1.0,228692749.854324,66789.2025979309
65,81,49.546085,WDR-3,2, ,Windsor-3,9062,8574,488,0.056916,WDR-3|5.69%,0,WDR-3|5.69%|9062|2.0,128549551.66259,46354.7081020999
66,82,179.229904,BEN-RUT,1, ,Bennington-Rutland,4335,4287,48,0.011197,BEN-RUT|1.12%,0,BEN-RUT|1.12%|4335|1.0,465041673.180874,94321.5127397484
67,86,153.28067,RUT-BEN,1, ,Rutland-Bennington,4024,4287,-263,-0.061348,RUT-BEN|-6.13%,0,RUT-BEN|-6.13%|4024|1.0,397732496.294857,108388.970355458
68,88,2.513053,RUT-7,1, ,Rutland-7,4545,4287,258,0.060182,RUT-7|6.02%,0,RUT-7|6.02%|4545|1.0,6521095.03805161,12167.9979258531
69,89,2.22501,RUT-6,1, ,Rutland-6,4275,4287,-12,-0.002799,RUT-6|-0.28%,0,RUT-6|-0.28%|4275|1.0,5773558.22394562,12170.7308136016
70,90,1.931475,RUT-5,1, ,Rutland-5,4110,4287,-177,-0.041288,RUT-5|-4.13%,0,RUT-5|-4.13%|4110|1.0,5011815.60045624,9749.94925778651
71,91,8.829704,RUT-4,1, ,Rutland-4,4500,4287,213,0.049685,RUT-4|4.97%,0,RUT-4|4.97%|4500|1.0,22911909.4463806,22094.067950089
72,92,100.151413,WDH-3,2, ,Windham-3,8388,8574,-186,-0.021693,WDH-3|-2.17%,0,WDH-3|-2.17%|8388|2.0,259838605.584808,95999.2130876315
