county_id,vtd_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
13,02-01,936,1161,1302,21,3420,0.44635193133047213,0.5536480686695279,0.38070175438596493,0.0061403508771929825
13,02-02,1206,1287,1683,24,4200,0.48375451263537905,0.516245487364621,0.4007142857142857,0.005714285714285714
13,02-03,1785,1950,2409,35,6179,0.4779116465863454,0.5220883534136547,0.38986891082699465,0.005664346981712251
13,02-05,1060,1458,1604,23,4145,0.42096902303415407,0.5790309769658459,0.38697225572979493,0.005548854041013269
13,02-06,1144,807,1268,22,3241,0.5863659661711943,0.41363403382880576,0.3912372724467757,0.006788028386300524
13,02-07,780,1151,1313,18,3262,0.40393578456758156,0.5960642154324184,0.4025137952176579,0.005518087063151441
13,02-08,2114,1893,3362,50,7419,0.5275767407037684,0.4724232592962316,0.4531608033427686,0.0067394527564361775
13,02-09,2202,1598,3665,39,7504,0.5794736842105264,0.4205263157894737,0.48840618336886993,0.005197228144989339
13,03-00,1193,2207,2264,32,5696,0.3508823529411765,0.6491176470588236,0.39747191011235955,0.0056179775280898875
13,04-01,912,807,1121,25,2865,0.5305410122164049,0.4694589877835951,0.3912739965095986,0.008726003490401396
13,04-02,1017,553,876,23,2469,0.6477707006369426,0.3522292993630573,0.35479951397326853,0.009315512353179425
13,04-03,894,867,852,21,2634,0.5076660988074957,0.49233390119250425,0.3234624145785877,0.007972665148063782
13,04-04,422,429,457,16,1324,0.49588719153936545,0.5041128084606346,0.34516616314199394,0.012084592145015106
13,04-05,540,549,674,16,1779,0.49586776859504134,0.5041322314049587,0.3788645306351883,0.008993816750983699
13,04-06,547,505,652,12,1716,0.5199619771863118,0.48003802281368824,0.37995337995337997,0.006993006993006993
13,04-07,355,675,583,12,1625,0.3446601941747573,0.6553398058252428,0.3587692307692308,0.0073846153846153844
13,04-08,605,614,825,13,2057,0.4963084495488105,0.5036915504511895,0.40106951871657753,0.006319883325230919
13,04-09,1057,1633,1538,36,4264,0.3929368029739777,0.6070631970260223,0.3606941838649156,0.008442776735459663
13,04-10,866,1197,1203,22,3288,0.41977702375181775,0.5802229762481823,0.3658759124087591,0.006690997566909975
13,05-00,371,1361,877,20,2629,0.21420323325635104,0.785796766743649,0.33358691517687333,0.007607455306200076
13,06-00,184,1216,676,6,2082,0.13142857142857142,0.8685714285714285,0.32468780019212296,0.002881844380403458
13,07-00,96,777,373,9,1255,0.10996563573883161,0.8900343642611683,0.2972111553784861,0.007171314741035857
13,08-00,431,2098,1388,20,3937,0.17042309213127718,0.8295769078687228,0.3525527051054102,0.00508001016002032
13,09-00,291,1494,930,12,2727,0.16302521008403362,0.8369747899159664,0.341034103410341,0.0044004400440044
13,10-00,1033,2832,1987,32,5884,0.26727037516170765,0.7327296248382924,0.3376954452753229,0.005438477226376614
13,11-01,1755,1315,2099,40,5209,0.5716612377850163,0.42833876221498374,0.402956421578038,0.007679017085813016
13,11-02,634,1373,1291,20,3318,0.3158943697060289,0.6841056302939711,0.38908981314044605,0.006027727546714889
13,12-01,201,144,275,8,628,0.5826086956521739,0.41739130434782606,0.43789808917197454,0.012738853503184714
13,12-02,708,327,612,22,1669,0.6840579710144927,0.3159420289855073,0.36668663870581186,0.013181545835829839
13,12-03,488,638,733,8,1867,0.433392539964476,0.566607460035524,0.39260846277450456,0.004284949116229245
13,12-04,743,670,973,28,2414,0.5258315640481246,0.47416843595187547,0.40306545153272577,0.0115990057995029
13,12-05,405,734,819,18,1976,0.3555750658472344,0.6444249341527656,0.4144736842105263,0.009109311740890687
13,12-06,437,361,581,10,1389,0.5476190476190477,0.4523809523809524,0.41828653707703384,0.007199424046076314
13,12-07,630,98,379,10,1117,0.8653846153846154,0.1346153846153846,0.3393017009847807,0.008952551477170993
13,12-08,428,391,487,10,1316,0.5225885225885226,0.47741147741147744,0.3700607902735562,0.007598784194528876
13,12-09,703,892,1053,16,2664,0.4407523510971787,0.5592476489028213,0.3952702702702703,0.006006006006006006
13,12-10,314,431,530,10,1285,0.4214765100671141,0.5785234899328859,0.41245136186770426,0.007782101167315175
13,12-11,426,433,623,11,1493,0.4959254947613504,0.5040745052386496,0.4172806430006698,0.007367716008037508
13,12-12,493,625,787,11,1916,0.4409660107334526,0.5590339892665475,0.41075156576200417,0.005741127348643006
14,PR01,524,1413,873,14,2824,0.270521424883841,0.729478575116159,0.30913597733711046,0.004957507082152974
14,PR02,169,689,408,11,1277,0.19696969696969696,0.803030303030303,0.31949882537196556,0.008613938919342208
14,PR05,387,1731,999,13,3130,0.18271954674220964,0.8172804532577904,0.31916932907348244,0.004153354632587859
14,PR06,258,1154,702,11,2125,0.18271954674220964,0.8172804532577904,0.33035294117647057,0.0051764705882352945
14,PR07,264,1022,593,8,1887,0.2052877138413686,0.7947122861586314,0.3142554319024907,0.0042395336512983575
14,PR08,162,600,364,8,1134,0.2125984251968504,0.7874015748031497,0.32098765432098764,0.007054673721340388
14,PR09,322,252,267,5,846,0.5609756097560976,0.43902439024390244,0.31560283687943264,0.00591016548463357
14,PR12,342,679,462,6,1489,0.33496571988246815,0.6650342801175319,0.31027535258562794,0.004029550033579583
14,PR13,278,1587,856,16,2737,0.14906166219839143,0.8509383378016085,0.3127511874314943,0.005845816587504567
14,PR14,396,1454,1014,26,2890,0.21405405405405406,0.7859459459459459,0.3508650519031142,0.008996539792387544
14,PR15,416,1663,1103,24,3206,0.2000962000962001,0.7999037999037999,0.3440424204616344,0.007485963817841547
14,PR16,395,461,509,6,1371,0.4614485981308411,0.5385514018691588,0.3712618526622903,0.00437636761487965
