county_id,precinct_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
11,05.1,1108,251,1137,14,2510,0.8153053715967623,0.18469462840323767,0.45298804780876495,0.005577689243027889
11,06.1,611,145,557,3,1316,0.8082010582010583,0.1917989417989418,0.42325227963525835,0.0022796352583586625
11,07.1,866,101,767,6,1740,0.8955532574974147,0.10444674250258532,0.44080459770114944,0.0034482758620689655
11,08.2,1048,254,975,16,2293,0.804915514592934,0.19508448540706605,0.425207152202355,0.006977758395115569
11,08.3,1017,319,975,22,2333,0.7612275449101796,0.23877245508982037,0.41791684526360906,0.009429918559794257
11,09.1,1444,381,1566,27,3418,0.7912328767123288,0.20876712328767122,0.45816266822703333,0.007899356348741955
11,10.1,802,79,514,9,1404,0.9103291713961408,0.08967082860385925,0.3660968660968661,0.00641025641025641
11,11.1,775,151,1107,36,2069,0.8369330453563715,0.1630669546436285,0.5350410826486225,0.017399710004833254
11,12.1,1087,94,1045,21,2247,0.9204064352243861,0.07959356477561388,0.4650645304850912,0.009345794392523364
11,13.1,980,123,963,20,2086,0.8884859474161378,0.1115140525838622,0.46164908916586767,0.009587727708533078
11,14.2,982,185,1016,12,2195,0.8414738646101114,0.1585261353898886,0.46287015945330295,0.005466970387243736
11,14.3,394,137,477,12,1020,0.7419962335216572,0.2580037664783427,0.4676470588235294,0.011764705882352941
11,15.1,1003,143,892,17,2055,0.87521815008726,0.12478184991273997,0.4340632603406326,0.00827250608272506
11,16.2,1312,200,1252,27,2791,0.8677248677248677,0.13227513227513227,0.4485847366535292,0.009673951988534575
11,17.1,642,101,652,10,1405,0.8640646029609691,0.13593539703903096,0.46405693950177934,0.0071174377224199285
11,18.2,1556,897,2235,30,4718,0.6343253159396657,0.36567468406033427,0.4737176769817719,0.00635862653666808
11,19.1,518,218,638,18,1392,0.7038043478260869,0.296195652173913,0.4583333333333333,0.01293103448275862
11,20.1,431,75,468,7,981,0.8517786561264822,0.1482213438735178,0.47706422018348627,0.007135575942915392
11,21.1,1025,331,1070,15,2441,0.7558997050147492,0.24410029498525074,0.4383449405981155,0.0061450225317492835
11,22.2,1018,239,954,8,2219,0.8098647573587908,0.19013524264120923,0.4299233889139252,0.003605227579990987
11,23.2,277,90,287,5,659,0.7547683923705722,0.2452316076294278,0.4355083459787557,0.007587253414264037
11,23.3,347,110,350,2,809,0.7592997811816192,0.24070021881838075,0.4326328800988875,0.002472187886279357
11,24.1,767,467,1041,15,2290,0.6215559157212318,0.37844408427876824,0.45458515283842793,0.006550218340611353
11,25.1,841,264,978,20,2103,0.7610859728506787,0.23891402714932128,0.46504992867332384,0.009510223490252021
11,26.1,741,181,841,27,1790,0.8036876355748374,0.1963123644251627,0.46983240223463685,0.015083798882681564
11,27.2,309,77,375,2,763,0.8005181347150259,0.19948186528497408,0.49148099606815204,0.002621231979030144
11,28.1,874,86,904,19,1883,0.9104166666666667,0.08958333333333333,0.4800849707912905,0.01009028146574615
11,29.2,1136,469,1308,14,2927,0.7077881619937695,0.2922118380062305,0.446873932353946,0.004783054321831227
11,30.2,795,815,1439,25,3074,0.4937888198757764,0.5062111801242236,0.4681197137280416,0.008132726089785295
11,30.3,851,912,1538,24,3325,0.4826999432785026,0.5173000567214975,0.4625563909774436,0.007218045112781955
11,31.1,331,367,524,4,1226,0.47421203438395415,0.5257879656160458,0.4274061990212072,0.0032626427406199023
11,32.1,585,553,892,14,2044,0.5140597539543058,0.4859402460456942,0.436399217221135,0.00684931506849315
11,33.2,443,294,578,8,1323,0.6010854816824966,0.3989145183175034,0.436885865457294,0.006046863189720333
11,33.3,583,422,783,22,1810,0.5800995024875621,0.4199004975124378,0.4325966850828729,0.012154696132596685
