house_id,base_Fairness,base_pop_score,base_compactness_score,opt_Fairness,opt_pop_score,opt_compactness_score,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
CHI-4,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-5,0.4,0.0,1.0,0.994389319435237,0.990648865725395,1.0,0.990648865725395,0.0,0.594389319435237,-0.10462740537588028,11.451173818481104
CHI-6,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-7,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-8,0.2755155014115463,0.0,0.6887887535288657,0.2755155014115463,0.0,0.6887887535288657,0.0,0.0,0.0,-2.5247888620226697,-2.5247888620226697
CHI-9,0.24584448886186316,0.0,0.6146112221546579,0.24584448886186316,0.0,0.6146112221546579,0.0,0.0,0.0,-3.101636917537003,-3.101636917537003
CHI-FRA,0.316574663912107,0.0,0.7914366597802674,0.316574663912107,0.0,0.7914366597802674,0.0,0.0,0.0,-1.7265384480930512,-1.7265384480930512
ESX-CAL,0.2689260624458981,0.0,0.6723151561147452,0.2689260624458981,0.0,0.6723151561147452,0.0,0.0,0.0,-2.6528972320319406,-2.6528972320319406
ESX-ORL,0.36002609100630056,0.0,0.9000652275157514,0.36002609100630056,0.0,0.9000652275157514,0.0,0.0,0.0,-0.8817788974495373,-0.8817788974495373
FRA-1,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
FRA-2,0.24906361807913174,0.0,0.6226590451978293,0.24906361807913174,0.0,0.6226590451978293,0.0,0.0,0.0,-3.039052318298222,-3.039052318298222
FRA-3,0.3168686517717022,0.0,0.7921716294292555,0.3168686517717022,0.0,0.7921716294292555,0.0,0.0,0.0,-1.720822892384652,-1.720822892384652
