house_id,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
81,32052.0,0.02956361245036103,0.7043638754963897,80419651.67464755,56879.4821977186,0.3123638617972219,0.6247277235944438,0.6725094147356113,C
82,31750.0,0.038707247450984736,0.6129275254901527,2218236631.022791,281205.3642389067,0.35250926403077876,0.7050185280615575,0.6497639265187147,C
83,31751.0,0.038676970513896576,0.6132302948610342,1222797447.2131538,290810.29602666525,0.18169577572470258,0.36339155144940516,0.5132947974963826,D
84,31627.0,0.042431310712828164,0.5756868928717184,1897767679.8453286,290405.16465835,0.2827771015192752,0.5655542030385504,0.5716338169384512,C
85,32115.0,0.02765616541380708,0.7234383458619292,300311637.72892505,126563.46033217157,0.2355946076311953,0.4711892152623906,0.6225386936221138,C
86,32070.0,0.029018627582774188,0.7098137241722582,46179785.53303358,54603.22801946396,0.19463688242964572,0.38927376485929144,0.5815977404470715,C
87,31811.0,0.0368603542886071,0.631396457113929,2027140286.051149,234066.65089881592,0.46495892265723865,0.9299178453144773,0.7508050123941483,B
88,31844.0,0.035861215364697885,0.6413878463530212,3112829934.5040784,320049.26998063695,0.3818840997969191,0.7637681995938382,0.690339987649348,C
89,32071.0,0.02898835064568603,0.7101164935431397,35938338.62624113,47016.119993648004,0.20430278567209742,0.40860557134419484,0.5895121246635617,C
90,31916.0,0.033681275894350514,0.663187241056495,24183853.209803507,40109.40882537456,0.18890473342106476,0.3778094668421295,0.5490361313707488,D
91,32036.0,0.030048043443771558,0.6995195655622845,2143333593.4600112,245205.2112997279,0.44796103880722,0.89592207761444,0.7780805703831466,B
92,31873.0,0.03498318418914131,0.650168158108587,2063975615.1794074,257531.6415729329,0.39106885852237183,0.7821377170447437,0.7029559816830496,B
93,31949.0,0.0326821369704413,0.6731786302955871,77655588.5536137,52242.47698887573,0.35754858150302454,0.7150971630060491,0.689946043379772,C
94,31914.0,0.033741829768526826,0.6625817023147318,174722895.67482013,87824.4495046753,0.2846615502288165,0.569323100457633,0.6252782615718923,C
95,31942.0,0.03289407553005841,0.6710592446994159,3242751990.398343,370492.8523154896,0.2968683720648496,0.5937367441296992,0.6401302444715292,C
96,31778.0,0.03785949321251631,0.6214050678748368,321619231.91850847,109182.5314420014,0.3390357971575796,0.6780715943151592,0.6440716784509658,C
97,31753.0,0.038616416639720264,0.6138358336027974,23635111.9647655,31898.96282084628,0.2918867649560176,0.5837735299120352,0.6018109121264925,C
98,31696.0,0.040342202053745266,0.5965779794625474,105386149.07850537,63268.43512506693,0.33084091528535226,0.6616818305707045,0.6226195199058102,C
99,32064.0,0.029200289205303133,0.7079971079469687,541238582.8858957,146695.521072947,0.31605662927723926,0.6321132585544785,0.6776435681899726,C
100,31871.0,0.03504373806331762,0.6495626193668238,1151643068.786692,170593.81605372924,0.4972802302279304,0.9945604604558608,0.7875617558024386,B
